F1,F2,F3,F4,F5,F6,F7,F8,Output
0.9931,0.5104,1,27,2,1,1,7,401.75
0.2708,0.5729,1,27,2,1,0,7,405.69
0.6181,0.9722,1,27,2,1,0,7,421.32
0.9931,0.5104,1,27,2,1,1,7,424.75
0.4757,0.7604,1,27,2,1,0,7,463.32
0.8438,0.4306,1,27,2,1,1,7,463.32
0.9931,0.4306,1,27,2,1,1,7,463.32
0.4236,0.7569,2,27,1,1,0,7,951.52
0.6181,0.8229,2,27,2,1,0,7,1072.91
0.4757,0.7604,2,27,2,1,0,7,1115.32
0.9931,0.4306,2,27,2,1,1,7,1115.32
0.7292,0.7917,0,28,0,1,0,1,151.53
0.2708,0.5556,1,28,2,1,0,1,398.32
0.3542,0.7604,1,28,2,1,0,1,398.32
0.4757,0.7604,1,28,2,1,0,1,398.32
0.9931,0.4306,1,28,2,1,1,1,398.32
0.2708,0.5104,1,28,2,1,0,1,401.75
0.4757,0.816,1,28,2,1,0,1,401.75
0.4757,0.7604,1,28,2,1,0,1,421.32
0.4757,0.8993,1,28,2,1,0,1,573.03
0.4757,0.5938,1,28,2,1,0,1,574.35
0.4236,0.5868,2,28,1,1,0,1,951.52
0.7292,0.9722,2,28,2,1,0,1,971.45
0.5486,0.8229,2,28,2,1,0,1,1072.91
0.9931,0.3576,2,28,2,1,1,1,1072.91
0.2708,0.5556,2,28,2,1,0,1,1115.32
0.3542,0.7604,2,28,2,1,0,1,1115.32
0.4757,0.7604,2,28,2,1,0,1,1115.32
0.9931,0.4306,2,28,2,1,1,1,1115.32
0.7292,0.7917,0,29,0,1,0,2,151.53
0.6181,0.9375,0,29,2,1,0,2,220.1
0.3507,0.8993,1,29,2,1,0,2,345.03
0.3507,0.4479,1,29,2,1,0,2,346.35
0.2708,0.5556,1,29,2,1,0,2,398.32
0.3125,0.7604,1,29,2,1,0,2,398.32
0.3507,0.7604,1,29,2,1,0,2,398.32
0.7222,0.4306,1,29,2,1,1,2,398.32
0.7674,0.4306,1,29,2,1,1,2,398.32
0.8507,0.4306,1,29,2,1,1,2,398.32
0.9931,0.4306,1,29,2,1,1,2,398.32
0.2708,0.5104,1,29,2,1,0,2,401.75
0.4583,0.816,1,29,2,1,0,2,401.75
0.8507,0.5104,1,29,2,1,1,2,401.75
0.9931,0.5104,1,29,2,1,1,2,401.75
0.6181,0.3264,1,29,2,1,1,2,416.01
0.6736,0.3264,1,29,2,1,1,2,416.01
0.9931,0.5104,1,29,2,1,1,2,424.75
0.2708,0.7361,1,29,2,1,0,2,428.69
0.4583,0.7604,1,29,2,1,0,2,463.32
0.4236,0.5868,2,29,1,1,0,2,951.52
0.2708,0.5556,2,29,2,1,0,2,1115.32
0.3507,0.7604,2,29,2,1,0,2,1115.32
0.4583,0.7604,2,29,2,1,0,2,1115.32
0.9931,0.4306,2,29,2,1,1,2,1115.32
0.6736,0.3264,2,29,2,1,1,2,1133.01
0.7292,0.7917,0,30,0,1,0,3,151.53
0.2708,0.5556,1,30,2,1,0,3,398.32
0.3125,0.7604,1,30,2,1,0,3,398.32
0.3576,0.7604,1,30,2,1,0,3,398.32
0.8507,0.4306,1,30,2,1,1,3,398.32
0.9931,0.4306,1,30,2,1,1,3,398.32
0.2708,0.5104,1,30,2,1,0,3,401.75
0.2708,0.5556,1,30,2,1,0,3,421.32
0.4757,0.7604,1,30,2,1,0,3,463.32
0.3125,0.8993,1,30,2,1,0,3,573.03
0.2708,0.7604,1,30,2,1,0,3,796.32
